file_name,speaker,usability,xds,interval_start,interval_end,pitch_min,pitch_max,pitch_mean,pitch_sd,F0_00,F0_05,F0_10,F0_15,F0_20,F0_25,F0_30,F0_35,F0_40,F0_45,F0_50,F0_55,F0_60,F0_65,F0_70,F0_75,F0_80,F0_85,F0_90,F0_95,F0_100
85_20210120,FA1,0.,,125.295,126.203,122.72095704210419 Hz,171.944097344903 Hz,157.3241711732514 Hz,10.580397838216992 Hz,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,152.7555214819187,164.74967475956655,166.30624885609015,155.55313102493466,--undefined--,171.8702890976892,156.13249946104978,151.25756700486468,155.72703217133562,--undefined--,
85_20210120,FA1,0.,C,130.466,131.957,103.70835193045657 Hz,185.9368701255241 Hz,124.83253361750882 Hz,15.317231646491246 Hz,--undefined--,--undefined--,114.76691630119389,117.74473047668705,122.7426570109033,--undefined--,120.932068552512,118.90537615423801,110.82444838038485,119.0382276300112,125.4940389629889,139.92170869248193,147.60122055622497,120.23582316415396,124.39236028429158,122.74527286510063,120.60692366773091,120.77449182729468,--undefined--,124.42251344872865,--undefined--,
85_20210120,FA1,0.,,133.235,134.885,107.41142963967395 Hz,569.9226608574966 Hz,212.74343475878587 Hz,89.82012584614576 Hz,--undefined--,--undefined--,294.29386439682526,287.68503582715766,298.13633094926473,136.83508668636432,274.74757270063793,262.17726826644696,232.3992750793128,288.8072084383774,116.92793660063607,311.0819710361787,--undefined--,123.34315975028379,274.33232682484686,141.89316116362195,134.3492578154695,158.3445110476961,126.08100846861194,130.453116636128,--undefined--,
85_20210120,FA1,0.,C,136.193,138.009,107.57262795801 Hz,284.90032761172665 Hz,185.90329926467686 Hz,32.86563302284123 Hz,--undefined--,--undefined--,179.72608756121585,--undefined--,199.50340771582822,209.6127666348445,--undefined--,160.23583892728126,161.5679433252759,--undefined--,169.25912935572362,164.89191309057193,177.56379828301792,270.8821784434179,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,138.285,139.04,109.58049683750836 Hz,478.373022975463 Hz,231.33517009756443 Hz,115.14313924578191 Hz,--undefined--,161.15489180949243,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,223.73390909274886,240.4468756154711,262.04063356827646,298.04789390492533,346.6071939425378,447.27805163549993,--undefined--,112.81424726859862,121.43281552974344,125.23702566636318,113.43875171860992,--undefined--,--undefined--,
85_20210120,FA1,0.,C,140.838,143.551,109.48982583632007 Hz,556.8718129161083 Hz,127.876049258407 Hz,58.07733042004992 Hz,--undefined--,--undefined--,125.59912468590338,117.37329249455992,--undefined--,124.075783948324,115.23003091583944,123.90929689222624,120.11042175669736,--undefined--,122.06187215676324,112.79515734504646,125.7162036330942,119.00736985404585,549.3651300943736,--undefined--,126.8208868000442,121.64440110690245,117.9039873835557,119.73427065563747,--undefined--,
85_20210120,FA1,0.,C,145.133,147.03,113.44135115055137 Hz,414.01381314457694 Hz,254.7508630706639 Hz,95.56937071539853 Hz,--undefined--,--undefined--,--undefined--,189.07938194104744,--undefined--,179.63586616207186,367.09783728936276,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,357.6736727807876,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,
85_20210120,FA1,0.,C,147.209,149.005,102.17880574200629 Hz,567.0242386695058 Hz,225.15993839472677 Hz,158.64272886767466 Hz,--undefined--,373.16566302891084,120.98682832701496,129.15899237233145,--undefined--,386.0521147782842,537.5215913771636,527.7078820597781,--undefined--,118.58245567105101,--undefined--,116.82331256976126,121.09064979167283,--undefined--,--undefined--,--undefined--,--undefined--,126.00019666643158,120.78701886960991,124.79467635930251,--undefined--,
85_20210120,FA1,0.,C,150.193,151.153,102.12285695220602 Hz,560.27474381917 Hz,174.2217307813491 Hz,136.7784341980847 Hz,--undefined--,121.0939150604878,135.54891991574817,108.34317667866186,116.84450951532995,510.4397893015147,555.7577453434869,116.60882790930519,118.92051202349654,116.4772838467402,450.3985436570848,129.87533330791365,121.10579251138364,119.56211815384121,120.8333136551812,121.65632418197526,120.39252101036433,126.70703735141159,118.85008424284024,118.42599014997623,--undefined--,
85_20210120,FA1,0.,C,155.739,157.168,112.2675782543976 Hz,455.0907319829567 Hz,237.43142745294264 Hz,95.58145967701905 Hz,--undefined--,234.27376266176614,204.09551172368083,--undefined--,--undefined--,--undefined--,184.4350732668375,168.18209642887598,171.62493976976327,181.02261109908426,204.7646396769499,282.5463722654167,374.20385282611267,442.12487803346636,--undefined--,--undefined--,--undefined--,120.84103979919959,--undefined--,--undefined--,--undefined--,
